date,hostname,CPU#0 Status,MEM#00A Status,MEM#01A Status,MEM#02A Status,MEM#03A Status,PSU#0 Status,PSU#1 Status,FANU#0 Status,FANU#1 Status,FANU#2 Status,FANU#3 Status,FANU#4 Status,FANU#5 Status,FANU#6 Status,uptime,load_average_last_1_min,load_average_last_5_min,load_average_last_15_min,Status_of_volume,Hard_disk_2_0,Hard_disk_2_1,Hard_disk_2_2,Hard_disk_2_3,rpool_state,rpool_CAP,IPv4_LISTEN,net0/v4_STATE,net1/v4_STATE,net2/v4_STATE,net3/v4_STATE,net4/v4_STATE,net5/v4_STATE,net6/v4_STATE,net7/v4_STATE,net8/v4_STATE,net9/v4_STATE,net10/v4_STATE,net11/v4_STATE,Temperature,CPU_0_Temperature,MEM_00A_Temperature,MEM_01A_Temperature,MEM_02A_Temperature,MEM_03A_Temperature,SAS_Temperature,MBU_1_35V_0_volt,MBU_1_35V_1_volt,MBU_1_5V_0_volt,MBU_1_5V_1_volt,PSUBP_3_3V,PSUBP_5_0V,FAN_0_0,FAN_0_1,FAN_1_0,FAN_1_1,FAN_2_0,FAN_2_1,FAN_3_0,FAN_3_1,FAN_4_0,FAN_4_1,FAN_5_0,FAN_5_1,FAN_6_0,FAN_6_1,Actual_AC_power_consumption,Air_Flow,PSB_00_0_Fault,Own_Status,CEDS_Number_of_Process,CEDS_almevt_k_dbt_count,CEDS_oradata_Usage,SCADA_To_mode
2024040211,PMC_192.168.1.50,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,21,0.00,0.01,0.00,N/A,Ready,Ready,N/A,N/A,ONLINE,8,21/22/23/80/111/514/2001/2011/6482/8101,ok,ok,N/A,ok,N/A,N/A,ok,ok,N/A,N/A,ok,ok,22.56,42.25,28.50,28.00,29.00,28.75,34.06,1.346,1.346,1.538,1.504,3.269,5.040,11157,9557,10931,9342,10821,9440,11111,9424,11180,9507,10756,9215,10909,9473,230,82,Normal,N/A,N/A,N/A,N/A,N/A
2024040211,PMC_192.168.3.50,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,218,0.00,0.00,0.00,Okay,Optimal,Optimal,Hot Spare,N/A,ONLINE,4,21/22/23/111/514/2001/2011/6482/8101,ok,ok,N/A,ok,N/A,N/A,ok,ok,N/A,N/A,ok,ok,21.69,42.72,27.75,27.25,28.50,28.75,36.25,1.344,1.346,1.539,1.497,3.255,5.065,11111,9457,10865,9358,10997,9326,10735,9230,10909,9294,10931,9294,11157,9490,216,82,Normal,N/A,N/A,N/A,N/A,N/A
2024040211,PMC_192.168.5.50,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,217,0.00,0.00,0.00,Okay,Optimal,Optimal,Hot Spare,N/A,ONLINE,4,21/22/23/111/514/2001/2011/6482/8101,ok,ok,N/A,ok,N/A,N/A,ok,ok,N/A,N/A,ok,ok,20.25,40.28,26.25,26.00,27.25,27.00,32.69,1.344,1.346,1.544,1.499,3.283,5.059,10037,8557,10055,8612,10131,8640,10112,8653,10000,8612,10131,8585,10074,8653,210,76,Normal,N/A,N/A,N/A,N/A,N/A
2024040211,PMC_192.168.7.50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,197,0.00,0.00,0.00,Okay,Optimal,Optimal,Hot Spare,N/A,ONLINE,4,21/22/23/111/514/2001/2011/6482/8101,ok,ok,N/A,ok,N/A,N/A,ok,ok,N/A,N/A,ok,ok,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024040211,PMC_192.168.11.50,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,223,0.00,0.00,0.00,Okay,Optimal,Optimal,Hot Spare,N/A,ONLINE,4,21/22/23/111/514/2001/2011/6482/8101,ok,ok,N/A,ok,N/A,N/A,ok,ok,N/A,N/A,ok,ok,19.81,41.38,26.25,25.75,27.00,26.25,32.56,1.344,1.346,1.545,1.499,3.273,5.080,9818,8437,10188,8794,10112,8653,10112,8598,10037,8530,10169,8681,10131,8823,211,76,Normal,N/A,N/A,N/A,N/A,N/A
2024040211,PMC_192.168.13.50,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,237,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,ONLINE,4,21/22/23/111/514/2001/2011/6482/8101,ok,ok,N/A,ok,N/A,N/A,ok,ok,N/A,N/A,ok,ok,20.75,42.43,26.50,26.25,28.25,27.00,34.06,1.344,1.346,1.541,1.498,3.266,5.051,9981,8503,10055,8503,10093,8681,9981,8437,10074,8626,10188,8809,10112,8571,213,76,Normal,N/A,N/A,N/A,N/A,N/A
2024040211,PMC_192.168.15.50,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,222,0.00,0.00,0.00,Okay,Optimal,Optimal,Hot Spare,N/A,ONLINE,4,21/22/23/111/514/2001/2011/6482/8101,ok,ok,N/A,ok,N/A,N/A,ok,ok,N/A,N/A,ok,ok,24.06,46.49,29.50,29.25,30.75,30.25,36.12,1.345,1.347,1.548,1.497,3.284,5.100,10975,9424,10953,9358,11042,9407,10931,9326,11042,9358,11111,9424,10909,9358,221,82,Normal,N/A,N/A,N/A,N/A,N/A
2024040211,PMC_192.168.19.50,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,127,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,ONLINE,4,21/22/23/111/514/2001/2011/6482/8101,ok,ok,N/A,ok,N/A,N/A,ok,ok,N/A,N/A,ok,ok,25.94,51.18,31.75,31.25,32.75,32.75,38.69,1.345,1.346,1.533,1.499,3.263,5.045,11134,9507,11088,9523,10931,9375,10821,9358,10975,9294,10975,9391,10953,9294,222,82,Normal,N/A,N/A,N/A,N/A,N/A
2024040211,PMC_192.168.21.50,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,281,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,ONLINE,4,21/22/23/111/514/2001/2011/6482/8101,ok,ok,N/A,ok,N/A,N/A,ok,ok,N/A,N/A,ok,ok,22.25,43.12,28.00,27.75,29.50,29.25,36.31,1.345,1.346,1.534,1.498,3.266,5.037,10887,9326,11134,9424,11020,9457,10887,9342,10887,9326,10953,9358,10843,9215,216,82,Normal,N/A,N/A,N/A,N/A,N/A
2024040211,PMC_192.168.23.50,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,126,0.00,0.00,0.00,Okay,Optimal,Optimal,Hot Spare,N/A,ONLINE,4,21/22/23/111/514/2001/2011/6482/8101,ok,ok,N/A,ok,N/A,N/A,ok,ok,N/A,N/A,ok,ok,26.25,45.27,31.50,31.50,33.00,32.25,36.44,1.344,1.347,1.541,1.502,3.264,5.056,14361,12356,14361,12244,14438,12300,14210,12134,14400,12356,14210,12162,14361,12217,243,99,Normal,N/A,N/A,N/A,N/A,N/A
2024040211,PMC_192.168.25.50,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,98,0.00,0.00,0.00,Okay,Optimal,Optimal,Hot Spare,N/A,ONLINE,4,21/22/23/111/514/2001/2011/6482/8101,ok,ok,N/A,ok,N/A,N/A,ok,ok,N/A,N/A,ok,ok,24.00,45.50,30.00,29.75,31.25,30.75,36.94,1.346,1.346,1.545,1.497,3.295,5.033,10843,9375,10887,9262,11134,9473,10843,9358,10865,9391,10997,9358,10931,9246,219,82,Normal,N/A,N/A,N/A,N/A,N/A
